file,original,transformed,n,n_observed,unique_original,unique_transformed,same_missingness,increasing_weak_order,decreasing_weak_order,median_scale,max_relative_scaling_error
GE_HH-Analysis_AllHHs.dta,p2_consumption_trim,p2_consumption_trim_PPP,8239,8144,7039,7039,True,True,False,0.021510002157364524,4.089593882674194e-08
GE_HH-Analysis_AllHHs.dta,p2_consumption_wins,p2_consumption_wins_PPP,8239,8226,7039,7039,True,True,False,0.02151000215525639,4.0807929386877115e-08
GE_HH-Analysis_AllHHs.dta,p3_1_agprofit,p3_1_agprofit_PPP,8239,8231,5480,5480,True,True,False,0.021510002174187654,2.308233384065925e-08
GE_HH-Analysis_AllHHs.dta,p3_1_agprofit_trim,p3_1_agprofit_trim_PPP,8239,8149,5398,5398,True,True,False,0.021510002174187654,2.236816592573322e-08
GE_HH-Analysis_AllHHs.dta,p3_1_agprofit_wins,p3_1_agprofit_wins_PPP,8239,8231,5398,5398,True,True,False,0.02151000217833285,2.2455954433389888e-08
GE_HH-Analysis_AllHHs.dta,p3_2_nonagprofit,p3_2_nonagprofit_PPP,8239,8151,456,456,True,True,False,0.021510002136230468,2.3324321544708625e-08
GE_HH-Analysis_AllHHs.dta,p3_2_nonagprofit_BL,p3_2_nonagprofit_PPP_BL,8239,8239,276,276,True,True,False,0.02151000219946004,6.893640125360504e-09
GE_HH-Analysis_AllHHs.dta,p3_2_nonagprofit_trim,p3_2_nonagprofit_trim_PPP,8239,8074,410,410,True,True,False,0.021510002136230468,5.0670076289880265e-08
GE_HH-Analysis_AllHHs.dta,p3_2_nonagprofit_trim_BL,p3_2_nonagprofit_trim_PPP_BL,8239,8239,244,244,True,True,False,0.021510001870310456,3.803707274668775e-08
GE_HH-Analysis_AllHHs.dta,p3_2_nonagprofit_wins,p3_2_nonagprofit_wins_PPP,8239,8151,410,410,True,True,False,0.021510002136230468,5.0670076289880265e-08
GE_HH-Analysis_AllHHs.dta,p3_2_nonagprofit_wins_BL,p3_2_nonagprofit_wins_PPP_BL,8239,8239,244,244,True,True,False,0.021510002323405084,2.7571861489086888e-08
GE_HH-Analysis_AllHHs.dta,p3_3_wageearnings,p3_3_wageearnings_PPP,8239,8239,833,833,True,True,False,0.021510002136230468,1.622841068051147e-08
GE_HH-Analysis_AllHHs.dta,p3_3_wageearnings_BL,p3_3_wageearnings_PPP_BL,8239,8239,467,467,True,True,False,0.021510001778931,2.2563074912178025e-08
GE_HH-Analysis_AllHHs.dta,p3_3_wageearnings_trim,p3_3_wageearnings_trim_PPP,8239,8157,777,777,True,True,False,0.021510002136230468,3.3305810939547884e-08
GE_HH-Analysis_AllHHs.dta,p3_3_wageearnings_trim_BL,p3_3_wageearnings_trim_PPP_BL,8239,8239,418,418,True,True,False,0.021510001627604167,4.078941344932538e-08
GE_HH-Analysis_AllHHs.dta,p3_3_wageearnings_wins,p3_3_wageearnings_wins_PPP,8239,8239,777,777,True,True,False,0.021510002136230468,3.3305810939547884e-08
GE_HH-Analysis_AllHHs.dta,p3_3_wageearnings_wins_BL,p3_3_wageearnings_wins_PPP_BL,8239,8239,418,418,True,True,False,0.021510002689976847,2.5743669210535233e-08
GE_HH-Analysis_AllHHs.dta,p3_totincome,p3_totincome_PPP,8239,8239,6702,6702,True,True,False,0.021510002152091996,4.2208190590053095e-08
GE_HH-Analysis_AllHHs.dta,p3_totincome_BL,p3_totincome_PPP_BL,8239,8239,657,657,True,True,False,0.021510002367424244,7.750813647958279e-09
GE_HH-Analysis_AllHHs.dta,p3_totincome_trim,p3_totincome_trim_PPP,8239,8157,6621,6621,True,True,False,0.021510002154070052,4.364128327281431e-08
