"replication","dimension","method","metric","value"
40,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.00144357117193311
40,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0116492688076169
40,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
40,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00248358012555088
40,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.0297999999999999
40,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00248358012555105
40,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0298
41,40,"ordinary_x2_minus_ordinary_x1","mae",-0.01544293662618
41,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.00154967977702332
41,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0104586310913454
41,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
41,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0095693207006212
41,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.101366666666666
41,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.009569320700621
41,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.1013
42,40,"ordinary_x2_minus_ordinary_x1","mae",-0.036337811040489
42,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0014974989358731
42,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0101554770727373
42,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
42,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00317659401666764
42,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.0374
42,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00317659401666698
42,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0367333333333333
43,40,"ordinary_x2_minus_ordinary_x1","mae",0.03982675754032
43,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.000460821042218604
43,40,"ordinary_x2_minus_ordinary_x1","mse",0.0102800249837419
43,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
43,40,"ordinary_x2_minus_ordinary_x1","regret",0.00297884092681561
43,40,"ordinary_x2_minus_ordinary_x1","treatment_share",-0.00813333333333299
43,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.002978840926816
43,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",0.0081333333333334
44,40,"ordinary_x2_minus_ordinary_x1","mae",0.024036952101922
44,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.000351679425584341
44,40,"ordinary_x2_minus_ordinary_x1","mse",0.0091868549543121
44,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
44,40,"ordinary_x2_minus_ordinary_x1","regret",0.00358914734627055
44,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.024333333333334
44,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.00358914734627097
44,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0244
45,40,"ordinary_x2_minus_ordinary_x1","mae",-0.060537412462274
45,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0035864972630097
45,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0162271035257474
45,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
45,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0153997239535418
45,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.155633333333333
45,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.015399723953542
45,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.1559
46,40,"ordinary_x2_minus_ordinary_x1","mae",-0.0406549510827097
46,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0069376505800326
46,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0142580814644133
46,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
46,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0147224307076812
46,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.154566666666667
46,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.014722430707681
46,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.154566666666666
47,40,"ordinary_x2_minus_ordinary_x1","mae",0.022260083568553
47,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.0006996961582788
47,40,"ordinary_x2_minus_ordinary_x1","mse",0.0031306479677076
47,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
47,40,"ordinary_x2_minus_ordinary_x1","regret",0.00015403454342855
47,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.00106666666666699
47,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.000154034543428994
47,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.000933333333333341
48,40,"ordinary_x2_minus_ordinary_x1","mae",0.047834041321193
48,40,"ordinary_x2_minus_ordinary_x1","mean_error",-0.00102422787506273
48,40,"ordinary_x2_minus_ordinary_x1","mse",0.0106623440916984
48,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
48,40,"ordinary_x2_minus_ordinary_x1","regret",0.00202260294647581
48,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.00190000000000001
48,40,"ordinary_x2_minus_ordinary_x1","value_gain",-0.00202260294647599
48,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0019
49,40,"ordinary_x2_minus_ordinary_x1","mae",-0.038728195107954
49,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.000668316660409798
49,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0122107708975271
49,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
49,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0154488281521496
49,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.159366666666667
49,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.01544882815215
49,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.1593
5,40,"ordinary_x2_minus_ordinary_x1","mae",-0.038452348516027
5,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.0016481168146747
5,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0124884409496317
5,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
5,40,"ordinary_x2_minus_ordinary_x1","regret",-0.0143990273496152
5,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.1444
5,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.014399027349615
5,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.1444
50,40,"ordinary_x2_minus_ordinary_x1","mae",-0.009120248713804
50,40,"ordinary_x2_minus_ordinary_x1","mean_error",0.00190362837248416
50,40,"ordinary_x2_minus_ordinary_x1","mse",-0.0024670541363156
50,40,"ordinary_x2_minus_ordinary_x1","oracle_gain",0
50,40,"ordinary_x2_minus_ordinary_x1","regret",-0.00260379051055369
50,40,"ordinary_x2_minus_ordinary_x1","treatment_share",0.026033333333333
50,40,"ordinary_x2_minus_ordinary_x1","value_gain",0.00260379051055398
50,40,"ordinary_x2_minus_ordinary_x1","wrong_sign",-0.0261666666666666
51,40,"ordinary_x2_minus_ordinary_x1","mae",-0.031557807792301
