"dimension","method","metric","replications","mean","mcse","ci95_low","ci95_high"
40,"ordinary_x1","value_gain",100,0.437310095317684,0.000905636692350031,0.435513115640745,0.439107074994624
100,"ordinary_x1","value_gain",100,0.427868013626854,0.000631953896813204,0.426614079992176,0.429121947261532
250,"ordinary_x1","value_gain",100,0.424339721305942,0.000372249406940753,0.423601097722473,0.425078344889412
500,"ordinary_x1","value_gain",100,0.423833674801059,0.000395111650993545,0.423049687565388,0.42461766203673
40,"ordinary_x2","value_gain",100,0.444178769665178,0.000782624195387622,0.442625873469969,0.445731665860388
100,"ordinary_x2","value_gain",100,0.44072263396301,0.0015803292072308,0.437586917960935,0.443858349965084
250,"ordinary_x2","value_gain",100,0.406269358150428,0.00264058111102594,0.401029872347892,0.411508843952965
500,"ordinary_x2","value_gain",100,0.385333083275232,0.00174714955608638,0.381866359509089,0.388799807041375
500,"class_x1","wrong_sign",100,0.00695833333333333,0.000458314477726623,0.00604893797747069,0.00786772868919597
500,"class_x2","wrong_sign",100,0.00695833333333333,0.000458314477726623,0.00604893797747069,0.00786772868919597
40,"ordinary_x1","wrong_sign",100,0.120610666666667,0.00870335295219894,0.103341326203274,0.137880007130059
100,"ordinary_x1","wrong_sign",100,0.214386333333333,0.00587327749842564,0.202732476559586,0.226040190107081
250,"ordinary_x1","wrong_sign",100,0.245772666666667,0.000571433187491374,0.244638819249347,0.246906514083986
500,"ordinary_x1","wrong_sign",100,0.246805,0.000464353182034482,0.245883622544684,0.247726377455316
40,"ordinary_x2","wrong_sign",100,0.0424226666666667,0.00454958460332927,0.0333953037740642,0.0514500295592692
100,"ordinary_x2","wrong_sign",100,0.034717,0.00490335777883841,0.0249876743755357,0.0444463256244643
250,"ordinary_x2","wrong_sign",100,0.146106333333333,0.00852741616309599,0.129186089629286,0.16302657703738
500,"ordinary_x2","wrong_sign",100,0.213739333333333,0.00552151403665829,0.202783451583374,0.224695215083293
