"replication","data_seed","forest_seed","cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","value"
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",0.0338297599178328
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",0.419106728096562
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",0.327694903214349
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",0.139816471842516
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",0.28264097780147
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",0.000843544663470076
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",0.328360859527615
1,20270811,20290811,"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",0.337582400755831
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","cate_correlation",0.746995561772364
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",0.794915220587239
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","sign_reversal",0.487
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",0.246466666666667
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",0.240533333333333
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",0.387866666666667
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",0.0183666666666667
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",0.432500743383883
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",0.0353454358842774
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",0.41952556828999
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",0.328183271177411
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",0.139549937173971
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",0.282717130563911
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",0.00053276505061268
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",0.328449653702717
1,20270811,20290811,"cell_07","tree_robustness",8,5000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",0.337191843146572
1,20270811,20290811,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","cate_correlation",0.993424682294167
1,20270811,20290811,"cell_08","default_mtry",8,2000,"grf_default",27,3000,1,"ordinary","cate_rank_correlation",0.864085129332539
