"cell_id","panel","multiplicity","trees","mtry_rule","actual_mtry","n_train","noise_sd","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high"
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.131827585512294,0.0925286663132562,0.0206900387743836,0.0885228366708687,0.17513233435372
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00146896402836581,0.0012373683782002,0.000276683980686431,0.000889857801319662,0.00204807025541195
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.152331229315368,0.108060248044603,0.024163006029322,0.101757476469184,0.202904982161552
"cell_04","dose_response",8,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.327455157564136,0.0130608349435747,0.00292049147767377,0.321342498650671,0.333567816477602
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.701257584348655,0.0160443824134023,0.00358763297333697,0.693748582237073,0.708766586460238
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.786806382540229,0.00692279889418381,0.00154798489219554,0.783566412925003,0.790046352155455
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.413333333333333,0.0736535488836614,0.0164694342087971,0.378862411371826,0.447804255294841
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.170501666666667,0.0738067814718138,0.0165036980571448,0.135959029646371,0.205044303686962
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.242831666666667,0.00576657514378238,0.0012894454018858,0.240132826423673,0.24553050690966
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.29502,0.0707495652457041,0.0158200837267951,0.261908184217064,0.328131815782936
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,0.12013,0.0710344779971493,0.0158837921547839,0.0868848409448153,0.153375159055185
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.358760186994249,0.0562416496056026,0.0125760151684852,0.332438284738006,0.385082089250492
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0.183243151741262,0.0964882337978272,0.0215754249800834,0.138085268273865,0.228401035208659
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",20,0.334170147746678,0.0841077928815035,0.0188070742320515,0.294806488985952,0.373533806507405
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",20,0.22758302979112,0.0983344491317509,0.021988251278859,0.181561090950094,0.273604968632146
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.141558375359935,0.00306615237432736,0.000685612513836836,0.140123371876471,0.142993378843399
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_010",20,0.195508921795042,0.084699366686017,0.0189393541561115,0.155868397971342,0.235149445618741
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_025",20,0.00151789831209545,0.00135353272722211,0.000302659118783932,0.000884425496194654,0.00215137112799624
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","x2_wrong_sign_true_margin_025",20,0.226953744605292,0.0987067299071972,0.0220714957909205,0.180757572998123,0.27314991621246
"cell_05","dose_response",16,2000,"fixed_6",6,3000,1,"ordinary","mean_absolute_prediction_change",20,0.371355498956433,0.0156070053439339,0.00348983248742386,0.3640511956144,0.378659802298467
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","cate_correlation",20,0.763529483796325,0.0148317114867091,0.00331647151069461,0.756588029148681,0.770470938443969
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","cate_rank_correlation",20,0.795235787068706,0.0125968783115955,0.00281674762090204,0.789340266542961,0.801131307594452
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","sign_reversal",20,0.364913333333333,0.0783415892625822,0.0175177119056501,0.328248340936613,0.401578325730054
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","positive_to_negative",20,0.124276666666667,0.0788804833591349,0.0176382122889067,0.0873594640692248,0.161193869264109
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","negative_to_positive",20,0.240636666666667,0.00672917102547249,0.00150468838451785,0.237487317683482,0.243786015649851
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","strong_reversal_010",20,0.256651666666667,0.0558110685903162,0.012479734326485,0.230531282528708,0.282772050804625
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","strong_reversal_025",20,0.066925,0.054488851668395,0.0121840776346434,0.0414234324299131,0.0924265675700869
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_010",20,0.32146159704283,0.0538019735679115,0.0120304870221497,0.296281498319224,0.346641695766437
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_estimated_margin_025",20,0.110051615435034,0.0812372390104187,0.0181651988731694,0.0720314172403799,0.148071813629688
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_010",20,0.280119324499011,0.0895412490738841,0.0200220319719445,0.238212729963599,0.322025919034423
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","reversal_given_true_margin_025",20,0.165874730431449,0.105017047444339,0.0234825256881862,0.116725239307814,0.215024221555084
"cell_06","tree_robustness",8,800,"fixed_6",6,3000,1,"ordinary","x1_wrong_sign_true_margin_010",20,0.140584050941668,0.00350123404035789,0.000782899731937649,0.138945422970532,0.142222678912803
