"replication","data_seed","forest_seed","scenario","method","n_train","n_test","raw_dimension","fitted_dimension","semantic_dimension","mtry","budget_share","maximum_absolute_prediction_difference","cate_rmse","cate_correlation","cate_rank_correlation","representation_cate_correlation","representation_rank_correlation","assignment_switching","top_set_overlap","policy_value","policy_regret","policy_value_difference","regret_difference","share_group_a_treated","share_group_b_treated"
16,20270824,20280824,"unit_recodings","exact_deduplication",3000,30000,23,23,20,6,0.2,0.162848323840991,0.408318642250042,0.82241657110414,0.641803047681115,0.991706308812749,0.96360841113512,0.0178,0.914791766395404,0.28028236798106,0.00923039142310395,0.00155365333332635,-0.00155365333332635,0.903666666666667,0.0823333333333333
16,20270824,20280824,"unit_recodings","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.144805920239667,0.402336112243327,0.82642221246775,0.653282530837425,0.992912226935041,0.965228876696921,0.0182666666666667,0.912655403251514,0.28143301675605,0.00807974264811367,0.00270430210831663,-0.00270430210831663,0.906333333333333,0.0843333333333333
16,20270824,20280824,"unit_recodings","class_sampled",3000,30000,23,20,20,6,0.2,0,0.406138941774502,0.81223447115393,0.661380614142867,1,1,0,1,0.278185548364909,0.0113272110392552,0,0,0.918,0.0533333333333333
16,20270824,20280824,"complements","ordinary",3000,30000,23,23,20,6,0.2,0.168772436047649,0.401240660248369,0.850467643126857,0.650205570384228,0.991392529077929,0.959623822962249,0.0159333333333333,0.923385157877865,0.284501607459702,0.00501115194446244,0.00577289281196786,-0.00577289281196786,0.938833333333333,0.0553333333333333
16,20270824,20280824,"complements","exact_deduplication",3000,30000,23,23,20,6,0.2,0.168772436047649,0.401240660248369,0.850467643126857,0.650205570384228,0.991392529077929,0.959623822962249,0.0159333333333333,0.923385157877865,0.284501607459702,0.00501115194446244,0.00577289281196786,-0.00577289281196786,0.938833333333333,0.0553333333333333
16,20270824,20280824,"complements","dimension_adjusted_mtry",3000,30000,23,23,20,7,0.2,0.160379699977708,0.384546621735035,0.850323879095076,0.660201824234002,0.991565196079898,0.961420271401578,0.0154666666666667,0.925545571245186,0.283701263164868,0.00581149623929589,0.00497254851713441,-0.00497254851713441,0.947,0.0406666666666667
16,20270824,20280824,"complements","class_sampled",3000,30000,23,20,20,6,0.2,0,0.406138941774502,0.81223447115393,0.661380614142867,1,1,0,1,0.278185548364909,0.0113272110392552,0,0,0.918,0.0533333333333333
16,20270824,20280824,"raw_log_rank","ordinary",3000,30000,26,26,20,6,0.2,0.299381366303611,0.333425124759836,0.873173912952391,0.66492897765081,0.986404848344354,0.956036540422263,0.0181333333333333,0.913265306122449,0.285539759704168,0.0039729996999957,0.0068110450564346,-0.0068110450564346,0.955166666666667,0.0378333333333333
16,20270824,20280824,"raw_log_rank","exact_deduplication",3000,30000,26,26,20,6,0.2,0.299381366303611,0.333425124759836,0.873173912952391,0.66492897765081,0.986404848344354,0.956036540422263,0.0181333333333333,0.913265306122449,0.285539759704168,0.0039729996999957,0.0068110450564346,-0.0068110450564346,0.955166666666667,0.0378333333333333
16,20270824,20280824,"raw_log_rank","dimension_adjusted_mtry",3000,30000,26,26,20,8,0.2,0.358852376238075,0.31825637047683,0.883681875259357,0.669620905114245,0.981885634477399,0.955007427419342,0.0216666666666667,0.897233201581028,0.286422966038851,0.00308979336531312,0.00769425139111718,-0.00769425139111718,0.965333333333333,0.0285
16,20270824,20280824,"raw_log_rank","class_sampled",3000,30000,26,20,20,6,0.2,0,0.406138941774502,0.81223447115393,0.661380614142867,1,1,0,1,0.278185548364909,0.0113272110392552,0,0,0.918,0.0533333333333333
16,20270824,20280824,"routine_bundle","ordinary",3000,30000,35,35,20,6,0.2,0.295729765290818,0.331100004030666,0.877482668638129,0.65990609287634,0.983780411582661,0.95344547895005,0.019,0.909307875894988,0.285435456013929,0.00407730339023504,0.00670674136619526,-0.00670674136619526,0.956333333333333,0.0358333333333333
16,20270824,20280824,"routine_bundle","exact_deduplication",3000,30000,35,32,20,6,0.2,0.261302860394947,0.334572700524845,0.883957346568091,0.664432462862258,0.981517334327807,0.956391479775102,0.019,0.909307875894988,0.285755038532265,0.00375772087189902,0.00702632388453128,-0.00702632388453128,0.951666666666667,0.0438333333333333
16,20270824,20280824,"routine_bundle","dimension_adjusted_mtry",3000,30000,35,35,20,11,0.2,0.360476641590991,0.313225456594241,0.883774838256865,0.662617105534019,0.981196986316256,0.953124206115916,0.0222666666666667,0.894537417113988,0.28631777396085,0.00319498544331459,0.00758905931311571,-0.00758905931311571,0.969,0.023
16,20270824,20280824,"routine_bundle","class_sampled",3000,30000,35,20,20,6,0.2,0,0.406138941774502,0.81223447115393,0.661380614142867,1,1,0,1,0.278185548364909,0.0113272110392552,0,0,0.918,0.0533333333333333
