"scenario","method","metric","replications","mean","sd","se_mean","ci95_low","ci95_high","q025","median","q975"
"complements","ordinary","cate_rmse",20,0.385830594005174,0.0239899927747337,0.00536432546240334,0.374602931776689,0.397058256233659,0.352099942817705,0.38188826727848,0.432082901792148
"complements","ordinary","cate_correlation",20,0.858405485449691,0.0237944862206589,0.00532060886790754,0.847269323105062,0.86954164779432,0.824172937105566,0.860080655584073,0.891476257254612
"complements","ordinary","cate_rank_correlation",20,0.669254889488098,0.033962703580672,0.00759429139060581,0.653359854931374,0.685149924044822,0.608012108487102,0.67006713749163,0.729485974258373
"complements","ordinary","representation_cate_correlation",20,0.991625248125512,0.0015664216206999,0.000350262522531037,0.990892140240497,0.992358356010527,0.988791057709563,0.991737983661077,0.994599944573384
"complements","ordinary","representation_rank_correlation",20,0.968481229893001,0.00914583643418344,0.00204507119779285,0.964200846683043,0.97276161310296,0.951927289603786,0.970279911569644,0.979906541138485
"complements","ordinary","assignment_switching",20,0.01095,0.00426336906559515,0.000953318304384052,0.00895468185741644,0.0129453181425836,0.00499333333333333,0.0105333333333333,0.01948
"complements","ordinary","top_set_overlap",20,0.946906665277131,0.0200730892414825,0.00448847920623746,0.937512170330764,0.956301160223497,0.907150792125703,0.948684689257496,0.97534137144041
"complements","ordinary","policy_value",20,0.28207669280198,0.00358566811661495,0.000801779765350467,0.280398548466764,0.283754837137197,0.275220059862102,0.281555680700911,0.286918798130218
"complements","ordinary","policy_regret",20,0.00702240470976772,0.00358734261698766,0.000802154195016641,0.00534347668425336,0.00870133273528208,0.00238220744156376,0.00724566962025469,0.0139827078503229
"complements","ordinary","policy_value_difference",20,0.00237276759939392,0.00195261277833793,0.000436617490609834,0.00145891668897215,0.0032866185098157,0.00011470331749788,0.00184300348628547,0.00637172352992268
"complements","ordinary","regret_difference",20,-0.00237276759939392,0.00195261277833793,0.000436617490609834,-0.0032866185098157,-0.00145891668897215,-0.00637172352992268,-0.00184300348628547,-0.00011470331749788
"complements","exact_deduplication","cate_rmse",20,0.385830594005174,0.0239899927747337,0.00536432546240334,0.374602931776689,0.397058256233659,0.352099942817705,0.38188826727848,0.432082901792148
"complements","exact_deduplication","cate_correlation",20,0.858405485449691,0.0237944862206589,0.00532060886790754,0.847269323105062,0.86954164779432,0.824172937105566,0.860080655584073,0.891476257254612
"complements","exact_deduplication","cate_rank_correlation",20,0.669254889488098,0.033962703580672,0.00759429139060581,0.653359854931374,0.685149924044822,0.608012108487102,0.67006713749163,0.729485974258373
"complements","exact_deduplication","representation_cate_correlation",20,0.991625248125512,0.0015664216206999,0.000350262522531037,0.990892140240497,0.992358356010527,0.988791057709563,0.991737983661077,0.994599944573384
"complements","exact_deduplication","representation_rank_correlation",20,0.968481229893001,0.00914583643418344,0.00204507119779285,0.964200846683043,0.97276161310296,0.951927289603786,0.970279911569644,0.979906541138485
"complements","exact_deduplication","assignment_switching",20,0.01095,0.00426336906559515,0.000953318304384052,0.00895468185741644,0.0129453181425836,0.00499333333333333,0.0105333333333333,0.01948
"complements","exact_deduplication","top_set_overlap",20,0.946906665277131,0.0200730892414825,0.00448847920623746,0.937512170330764,0.956301160223497,0.907150792125703,0.948684689257496,0.97534137144041
"complements","exact_deduplication","policy_value",20,0.28207669280198,0.00358566811661495,0.000801779765350467,0.280398548466764,0.283754837137197,0.275220059862102,0.281555680700911,0.286918798130218
"complements","exact_deduplication","policy_regret",20,0.00702240470976772,0.00358734261698766,0.000802154195016641,0.00534347668425336,0.00870133273528208,0.00238220744156376,0.00724566962025469,0.0139827078503229
"complements","exact_deduplication","policy_value_difference",20,0.00237276759939392,0.00195261277833793,0.000436617490609834,0.00145891668897215,0.0032866185098157,0.00011470331749788,0.00184300348628547,0.00637172352992268
"complements","exact_deduplication","regret_difference",20,-0.00237276759939392,0.00195261277833793,0.000436617490609834,-0.0032866185098157,-0.00145891668897215,-0.00637172352992268,-0.00184300348628547,-0.00011470331749788
"complements","dimension_adjusted_mtry","cate_rmse",20,0.370539264502021,0.0238709439858147,0.00533770534393715,0.359367318821816,0.381711210182225,0.337578702432107,0.36881800392263,0.417616315563302
"complements","dimension_adjusted_mtry","cate_correlation",20,0.863328448905931,0.0240103978013977,0.00536888816507367,0.852091236831004,0.874565660980858,0.82812791099561,0.866181410959592,0.893552797469297
"complements","dimension_adjusted_mtry","cate_rank_correlation",20,0.672278757425858,0.0340976848976297,0.0076244741306468,0.6563205496682,0.688236965183515,0.614878329570909,0.669184482421316,0.734080973055568
"complements","dimension_adjusted_mtry","representation_cate_correlation",20,0.990652522749444,0.00195464453945503,0.000437071806207021,0.98973772094555,0.99156732455334,0.987097125137936,0.990672623921231,0.993954653060497
"complements","dimension_adjusted_mtry","representation_rank_correlation",20,0.968109186019344,0.00857763977197645,0.00191801856166451,0.964094727032978,0.972123645005709,0.952001758508835,0.969813266895792,0.979268794038443
